Game,Tournament,PlayerName,Region,MetaPoint
7 Wonders,Season 1,Zenphy,Belgium,100
7 Wonders,Season 1,TGGT,Hungary,75
7 Wonders,Season 1,tchepapke,Belgium,50
7 Wonders,Season 1,dzulai,Philippines,25
7 Wonders,Season 1,Gia85,Italy,10
7 Wonders,Season 1,Swagnesi,Australia,10
7 Wonders,Season 1,Qobal,Germany,10
7 Wonders,Season 1,Tomeque,Poland,10
Azul,Season 1,lobigio,Philippines,100
Azul,Season 1,Kndr,China,75
Azul,Season 1,Lwenyuan,China,50
Azul,Season 1,Hyperion7,France,50
Azul,Season 1,perdigiorno,Italy,10
Azul,Season 1,SUNYman,China,10
Azul,Season 1,scarxo,Australia,10
Azul,Season 1,nya11,Japan,10
Azul,Season 2,Kndr,China,100
Azul,Season 2,nya11,Japan,75
Azul,Season 2,Hyperion7,France,50
Azul,Season 2,oldteajar,Australia,50
Azul,Season 2,Lwenyuan,China,10
Azul,Season 2,amybomb,Australia,10
Azul,Season 2,simtt,Thailand,10
Azul,Season 2,loladub2,France,10
Carcassonne,Season 1,Kuya Boards,Philippines,100
Carcassonne,Season 1,CHIHIRO03,Japan,75
Carcassonne,Season 1,El_Pitufo_DV,Argentina,50
Carcassonne,Season 1,Mrwan1,Taiwan,50
Carcassonne,Season 1,Rolente,Spain,10
Carcassonne,Season 1,Adanlasheras,Chile,10
Carcassonne,Season 1,Zbrozlo,Poland,10
Carcassonne,Season 1,kaue101,Brazil,10
Carcassonne,Season 2,Lichidakiller,Mexico,100
Carcassonne,Season 2,jordis,Thailand,75
Carcassonne,Season 2,Kuya Boards,Philippines,50
Carcassonne,Season 2,Mrwan1,Taiwan,50
Carcassonne,Season 2,Bobbyc35,Antigua and Barbuda,10
Carcassonne,Season 2,Random_23,Ukraine,10
Carcassonne,Season 2,craig_shoji,Japan,10
Carcassonne,Season 2,Ozshark,Australia,10
Kingdomino,Season 1,cieciel,Poland,100
Kingdomino,Season 1,Sieuth,United States of America,75
Kingdomino,Season 1,Molkky14,France,50
Kingdomino,Season 1,batmanrx7,New Zealand,50
Kingdomino,Season 1,kl_escape,Switzerland,10
Kingdomino,Season 1,yumaman,Japan,10
Kingdomino,Season 1,catimini_3,Canada,10
Kingdomino,Season 1,GinosVougas,Greece,10
Kingdomino,Season 2,duchil,Spain,100
Kingdomino,Season 2,Tock9710,Canada,75
Kingdomino,Season 2,cieciel,Poland,50
Kingdomino,Season 2,Raginis,Poland,50
Kingdomino,Season 2,kl_escape,Switzerland,10
Kingdomino,Season 2,Lionjp,Taiwan,10
Kingdomino,Season 2,Small Geezer,Australia,10
Kingdomino,Season 2,Didzou,France,10
Splendor,Season 1,yukimura1130,Japan,100
Splendor,Season 1,VAB WRX,Japan,75
Splendor,Season 1,JQE,Hong Kong,50
Splendor,Season 1,2163465425,China,50
Splendor,Season 1,Rjz01,China,10
Splendor,Season 1,BlitzKaboom,Canada,10
Splendor,Season 1,o0O KAASKOP O0o,Netherlands,10
Splendor,Season 1,niepanfeng,China,10
Wingspan,Season 1,Timbits,Australia,100
Wingspan,Season 1,concreteblok,United States of America,75
Wingspan,Season 1,Little-Dinkey,Kazakhstan,50
Wingspan,Season 1,jasonb05,Taiwan,50
Wingspan,Season 1,irenreny,United States of America,10
Wingspan,Season 1,Pablo Escobear,Belgium,10
Wingspan,Season 1,sirafin502,Mexico,10
Wingspan,Season 1,Volts210,China,10
Wingspan,Season 2,kiki1234555,Hong Kong,100
Wingspan,Season 2,concreteblok,United States of America,75
Wingspan,Season 2,ShadOwl72,France,50
Wingspan,Season 2,zaperok0,Peru,50
Wingspan,Season 2,hferi,Hungary,10
Wingspan,Season 2,plopzito,Peru,10
Wingspan,Season 2,LongTee,Viet Nam,10
Wingspan,Season 2,dachnick,Ukraine,10
Ticket to Ride,Season 1,Jeroenpenguina,Netherlands,100
Ticket to Ride,Season 1,Castz,Hong Kong,75
Ticket to Ride,Season 1,Vladimir101,Spain,50
Ticket to Ride,Season 1,loyolas,France,50
Ticket to Ride,Season 1,Deadly_Rat,Hong Kong,10
Ticket to Ride,Season 1,doctor1215,China,10
Ticket to Ride,Season 1,duchil,Spain,10
Ticket to Ride,Season 1,Natx12,Hong Kong,10
Forest Shuffle,Season 1,Laryfary,Czechia,100
Forest Shuffle,Season 1,ManoloBobo,France,75
Forest Shuffle,Season 1,TheOGSodapop,Australia,50
Forest Shuffle,Season 1,Emberwood,New Zealand,50
Forest Shuffle,Season 1,olihika,Japan,10
Forest Shuffle,Season 1,mikadooo34,France,10
Forest Shuffle,Season 1,ScreenShot,Thailand,10
Forest Shuffle,Season 1,MeredithR,Russia,10
7 Wonders,Season 2,hakomugiko,Japan,100
7 Wonders,Season 2,helium820,Hong Kong,75
7 Wonders,Season 2,Soulblade28,Poland,50
7 Wonders,Season 2,Tomeque,Poland,25
7 Wonders,Season 2,VitalikDS,Ukraine,10
7 Wonders,Season 2,GreatSkillet,United States of America,10
7 Wonders,Season 2,Zzzyyxas,Germany,10
7 Wonders,Season 2,PKev95,Belgium,10
Splendor,Season 2,bousi,Japan,100
Splendor,Season 2,arno c r,France,75
Splendor,Season 2,hakomugiko,Japan,50
Splendor,Season 2,gobasak,South Korea,50
Splendor,Season 2,jog-tw,Taiwan,10
Splendor,Season 2,o0O KAASKOP O0o,Netherlands,10
Splendor,Season 2,akkyu39,Japan,10
Splendor,Season 2,yui05163,Japan,10
Carcassonne,Season 3,spman2,Japan,100
Carcassonne,Season 3,Carquinyolis,Palau,75
Carcassonne,Season 3,imkedr,Russia,50
Carcassonne,Season 3,Heinrich Shen,Taiwan,50
Carcassonne,Season 3,Sir INT 4,Czechia,10
Carcassonne,Season 3,Josetown,Panama,10
Carcassonne,Season 3,Mrwan1,Taiwan,10
Carcassonne,Season 3,BIGOOD79,France,10
Wingspan,Season 3,lespeutere,Germany,100
Wingspan,Season 3,Che-Phane,France,75
Wingspan,Season 3,Tom Traubert,Australia,50
Wingspan,Season 3,Kaobangdu31,France,50
Wingspan,Season 3,Hikaru Tsuchikawa,Japan,10
Wingspan,Season 3,aNgRy1995,Australia,10
Wingspan,Season 3,zaperok0,Peru,10
Wingspan,Season 3,jasonb05,Taiwan,10
Kingdomino,Season 3,LusiaKlusia,Poland,100
Kingdomino,Season 3,MaxTra1981,France,75
Kingdomino,Season 3,SIeuth,United States of America,50
Kingdomino,Season 3,anacodam,Viet Nam,50
Kingdomino,Season 3,cieciel,Poland,10
Kingdomino,Season 3,Baker14,Spain,10
Kingdomino,Season 3,Small Geezer,Australia,10
Kingdomino,Season 3,__Frog__,France,10
Azul,Season 3,Mysterious Gatsby,Holy See,100
Azul,Season 3,nya11,Japan,75
Azul,Season 3,LaVintegor,Hong Kong,50
Azul,Season 3,Hyperion7,France,50
Azul,Season 3,Kaepo,Japan,10
Azul,Season 3,RonnieMcDronnie,Australia,10
Azul,Season 3,le kal,France,10
Azul,Season 3,alien52332,Thailand,10
Ticket to Ride,Season 2,duchil,Spain,100
Ticket to Ride,Season 2,5murf,Australia,75
Ticket to Ride,Season 2,KikiFanou,France,50
Ticket to Ride,Season 2,phlyp,United States of America,50
Ticket to Ride,Season 2,Moose_Head,Australia,10
Ticket to Ride,Season 2,Skittlesandlilt,United Kingdom,10
Ticket to Ride,Season 2,Deals365,United Kingdom,10
Ticket to Ride,Season 2,Daddysmurf,France,10
